game_name,developer,genre,rating,Outlier_Flag,Rating_Normalized,Rating_Standardized,Rating_Score_100,Rating_Category,Genre_Cleaned,Dev_Avg_Rating,Dev_Game_Count,Dev_Rating_Std,Dev_Min_Rating,Dev_Max_Rating,Developer_Tier,Genre_Popularity_Score,Global_Rank,Rating_Percentile,Data_Snapshot_Date,Data_Snapshot_DateTime
Brain Out,Focus apps,Puzzle,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Puzzle,4.4,1,0.0,4.4,4.4,Indie Developer,13,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
Ink Inc.,Lion Studios,Simulation,4.2,Normal,0.1428571428571434,-1.1396220221917264,14.29,2. Good (4.0 - 4.4),Simulation,4.2,1,0.0,4.2,4.2,Indie Developer,14,80,14.85,2026-01-08,2026-01-08 11:48:26
Idle Miner Tycoon,Kolibri Games,Simulation,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Simulation,4.5,1,0.0,4.5,4.5,Indie Developer,14,19,72.28,2026-01-08,2026-01-08 11:48:26
Fishing Clash,Ten Square Games,Sports,4.6,Normal,0.7142857142857132,1.1739824851723817,71.43,1. Top Rated (≥4.5),Sports,4.6,1,0.0,4.6,4.6,Indie Developer,4,8,88.12,2026-01-08,2026-01-08 11:48:26
Merge Dragons!,Gram Games,Puzzle,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Puzzle,4.5,1,0.0,4.5,4.5,Indie Developer,13,19,72.28,2026-01-08,2026-01-08 11:48:26
Coin Master,Moon Active,Casual,4.4,Normal,0.42857142857142894,0.017180231490330142,42.86,2. Good (4.0 - 4.4),Others,4.4,1,0.0,4.4,4.4,Indie Developer,1,40,51.980000000000004,2026-01-08,2026-01-08 11:48:26
Monument Valley,Ustwo Games,Puzzle,4.8,Normal,0.9999999999999988,2.330784738854438,100.0,1. Top Rated (≥4.5),Puzzle,4.8,1,0.0,4.8,4.8,Indie Developer,13,2,98.02,2026-01-08,2026-01-08 11:48:26
Stardew Valley,ConcernedApe,Simulation,4.7,Normal,0.8571428571428567,1.7523836120134124,85.71,1. Top Rated (≥4.5),Simulation,4.7,1,0.0,4.7,4.7,Indie Developer,14,5,95.05,2026-01-08,2026-01-08 11:48:26
Hades,Supergiant Games,Action,4.800000000000001,Normal,1.0,2.3307847388544434,100.0,1. Top Rated (≥4.5),Action,4.8,1,0.0,4.8,4.8,Indie Developer,5,1,100.0,2026-01-08,2026-01-08 11:48:26
Plague Inc.,Ndemic Creations,Strategy,4.5,Normal,0.5714285714285711,0.5955813583313558,57.14,1. Top Rated (≥4.5),Strategy,4.5,1,0.0,4.5,4.5,Indie Developer,17,19,72.28,2026-01-08,2026-01-08 11:48:26
Alto's Adventure,Noodlecake Studios,Endless Runner,4.7,Normal,0.8571428571428567,1.7523836120134124,85.71,1. Top Rated (≥4.5),Endless Runner,4.7,1,0.0,4.7,4.7,Indie Developer,4,5,95.05,2026-01-08,2026-01-08 11:48:26
The Room,Fireproof Games,Puzzle,4.8,Normal,0.9999999999999988,2.330784738854438,100.0,1. Top Rated (≥4.5),Puzzle,4.8,1,0.0,4.8,4.8,Indie Developer,13,2,98.02,2026-01-08,2026-01-08 11:48:26
